#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
1451;J1710-4148;NAN;NAN;NAN;51335;345.33;-1.195;257.59895833;-41.80527778;0.286561;1.02E-16;461;12;NAN;NAN;0.31;NAN;7.193;7.193;NAN;pksmb,htru_pks;NAN
1452;J1710+4923;-50.4;-44.7;NAN;56850;75.929;36.449;257.51850454;49.38652178;0.00322;1.82E-20;7.08;0.27;0.74;NAN;NAN;NAN;0.506;0.506;NAN;gbncc;NAN
1453;J1711-1509;NAN;NAN;NAN;49907;7.417;14.013;257.97941575;-15.16104092;0.868804;1.1E-15;59.88;12.2;16.7;5.9;0.7;NAN;1.081;1.081;NAN;gb2,pks70,pkssw,htru_pks;NAN
1454;J1711-3826;NAN;NAN;NAN;51710;348.197;0.591;257.93520833;-38.43722222;0.465365;7.41E-15;376;24;NAN;NAN;0.16;NAN;4.146;4.146;NAN;pksmb,htru_pks;NAN
1455;J1711-4322;NAN;NAN;NAN;52433;344.145;-2.244;257.79400417;-43.38141667;0.102618;2.67E-17;191.5;7;16;NAN;0.26;NAN;3.986;3.986;NAN;pksmb,htru_pks;NAN
1456;J1711-5350;NAN;NAN;NAN;57600;335.694;-8.461;257.971375;-53.83841667;0.899233;1.55E-14;106.1;16;30;9;0.84;NAN;4.498;4.498;NAN;mol2,pks70,pkssw,htru_pks;NAN
1457;J1712-2715;NAN;NAN;NAN;51500;357.325;7.07;258.04879167;-27.26472222;0.25536;1.28E-15;91.78;33;64;NAN;NAN;NAN;3.118;3.118;NAN;pkssw,htru_pks,gbncc;NAN
1458;J1712-391;NAN;NAN;NAN;51465;347.26;-0.295;258.14583333;-39.71666667;0.778149;NAN;525;NAN;NAN;NAN;NAN;NAN;4.355;4.355;NAN;misc;NAN
1459;J1712-392;NAN;NAN;NAN;51465;347.26;-0.295;258.14583333;-39.71666667;0.092528;NAN;713;NAN;NAN;NAN;NAN;NAN;4.843;4.843;NAN;misc;NAN
1460;J1713+0747;4.915;-3.914;0.87;53729;28.751;25.223;258.45638344;7.79375171;0.00457;8.53E-21;15.92;0.11;0.39;6.8;9.1;6;1.149;0.915;GRS:4FGL_J1713.8+0747[fermi21];ar4,pkssw;HE[egc+13]
1461;J1713-3844;NAN;NAN;NAN;51294;348.101;0.207;258.25958333;-38.74138889;1.600114;1.77E-13;544;17;NAN;NAN;0.26;NAN;4.426;4.426;NAN;pksmb,htru_pks;NAN
1462;J1713-3949;NAN;NAN;NAN;51465;347.279;-0.491;258.36666667;-39.81666667;0.392451;NAN;342;12;NAN;NAN;0.35;NAN;3.885;3.885;NAN;misc,pksmb,htru_pks;NAN
1463;J1713+7810;NAN;NAN;NAN;57773;110.305;31.461;258.36279167;78.17610833;0.432526;1.14E-16;36.98;16;24;NAN;NAN;NAN;4.58;4.58;NAN;lotaas;NAN
1464;J1714-1054;NAN;NAN;NAN;53000;11.487;15.777;258.667175;-10.90302778;0.696279;5.88E-17;51;6.2;77.2;NAN;0.5;NAN;0.215;0.215;NAN;pkssw;NAN
1465;J1714-3810;NAN;NAN;NAN;55226.5;348.681;0.371;258.52391667;-38.17525;3.824936;5.88E-11;NAN;NAN;NAN;NAN;NAN;NAN;13.2;NAN;XRS:CXOU_J171405.7-381031,SNR:G348.7+0.3;misc;AXP,NRAD
1466;J1714-3830;NAN;NAN;NAN;NAN;348.439;0.14;258.5825;-38.50638889;0.08414;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1714.4-3830[fermi21],SNR:CTB_3;FermiAssoc;NRAD[plca18]
1467;J1715-3247;NAN;NAN;NAN;54244.6;353.211;3.296;258.84775;-32.79166667;1.260214;9.2E-17;164;60;NAN;NAN;0.08;NAN;4.047;4.047;NAN;pksmb;NAN
1468;J1715-3700;NAN;NAN;NAN;51118;349.757;0.886;258.79020833;-37.00111111;0.779628;1.46E-16;449;110;NAN;NAN;0.37;NAN;5.013;5.013;NAN;pksmb,htru_pks;NAN
1469;J1715-3859;NAN;NAN;NAN;53097;348.194;-0.348;258.907875;-38.99030556;0.928108;4.4E-15;806.2;61;128;NAN;0.54;NAN;5.158;5.158;NAN;pksmb,htru_pks;NAN
1470;J1715-3903;NAN;NAN;NAN;55370;348.101;-0.32;258.80866667;-39.04919444;0.278494;3.74E-14;314;5.4;NAN;NAN;0.66;NAN;3.737;3.737;NAN;pksmb,htru_pks;NAN
1471;J1715-4034;NAN;NAN;NAN;57600;346.913;-1.276;258.9205;-40.57166667;2.072155;3.03E-15;254;77.1;123;NAN;1.9;NAN;3.917;3.917;NAN;pksmb,htru_pks;NAN
1472;J1715-4254;NAN;NAN;NAN;52278;344.951;-2.562;258.79391667;-42.915;0.573745;8.76E-16;407;26;NAN;NAN;0.07;NAN;18.772;18.772;NAN;pksmb;NAN
1473;J1715+46;NAN;NAN;NAN;NAN;71.861;35.354;258.95;46.05;0.5481;NAN;19.82;22;NAN;NAN;NAN;NAN;1.754;1.754;NAN;lotaas;NAN
1474;J1716+34;NAN;NAN;NAN;NAN;58.1;33.702;259.03333333;34.60305556;0.00211;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1716.3+3434[fermi21];FermiAssoc;NRAD[fermi21]
1475;J1716-3720;NAN;NAN;NAN;51112;349.596;0.519;259.04733333;-37.34555556;0.630314;1.8E-14;682.7;14;105;NAN;0.41;NAN;5.375;5.375;NAN;pksmb,htru_pks;NAN
1476;J1716-4005;NAN;NAN;NAN;54942.8;347.418;-1.155;259.17525;-40.09083333;0.311813;2.87E-15;435;13.4;NAN;NAN;1.79;NAN;5.418;5.418;NAN;pksmb,htru_pks;NAN
1477;J1716-4111;NAN;NAN;NAN;54212.2;346.529;-1.795;259.1846125;-41.18597222;1.036067;2.88E-15;245.8;12;NAN;NAN;0.22;NAN;4.387;4.387;NAN;pksmb,htru_pks;NAN
1478;J1716-4711;NAN;NAN;NAN;55185;341.549;-5.155;259.00462083;-47.18358333;0.555824;8.33E-16;287.06;3.2;15;NAN;0.3;NAN;21.907;21.907;NAN;htru_pks;NAN
1479;J1717+03;NAN;NAN;NAN;57022;24.784;22.203;259.48333333;3.18333333;3.901;NAN;25.6;8.4;NAN;NAN;NAN;NAN;1.238;1.238;NAN;AO327;RRAT[dsm+16]
1480;J1717-3425;NAN;NAN;NAN;50253;352.12;2.025;259.334352;-34.41654571;0.656299;9.8E-15;583.46;11.5;31;NAN;3.9;NAN;25;25;NAN;pks1,pksmb,htru_pks;NAN
1481;J1717-3737;NAN;NAN;NAN;51324;349.491;0.182;259.3165;-37.62666667;0.682419;5.29E-15;522.7;22;51;NAN;0.69;NAN;4.334;4.334;NAN;pksmb,htru_pks;NAN
1482;J1717-3847;NAN;NAN;NAN;51347;348.551;-0.494;259.32666667;-38.78416667;1.149499;8.2E-16;707;287;NAN;NAN;0.3;NAN;5.012;5.012;NAN;pksmb,htru_pks;NAN
1483;J1717-3953;NAN;NAN;NAN;53313;347.655;-1.157;259.35645833;-39.89861111;1.085521;3.3E-17;466;299;367;NAN;1.5;NAN;6.537;6.537;NAN;pksmb,htru_pks;NAN
1484;J1717-4043;NAN;NAN;NAN;51388;347.016;-1.695;259.449625;-40.73055556;0.397857;1.22E-14;452.6;41;NAN;NAN;0.54;NAN;14.244;14.244;NAN;pksmb,htru_pks;NAN
1485;J1717-40435;NAN;NAN;NAN;51399;346.937;-1.574;259.25833333;-40.72527778;0.349929;1.75E-15;539;38;NAN;NAN;0.41;NAN;16.635;16.635;NAN;pksmb,htru_pks;NAN
1486;J1717-4054;NAN;NAN;NAN;57600;346.759;-1.893;259.46816667;-41.05494444;0.887719;3.7E-15;306.9;9.6;14;15;1.1;NAN;7.283;7.283;NAN;pks1,pks70,pksmb,htru_pks;NAN
1487;J1717+4308A;NAN;NAN;NAN;58390;68.336;34.861;259.27706833;43.13430017;0.00316;6.11E-20;35.45;NAN;NAN;NAN;NAN;NAN;8.3;25;GC:NGC6341,M92[prl+20];misc;NAN
1488;J1717-5800;NAN;NAN;NAN;51650;332.668;-11.475;259.39854167;-58.0015;0.321793;1.96E-16;125.22;11.4;NAN;NAN;0.5;NAN;11.223;11.223;NAN;pkssw,htru_pks;NAN
1489;J1718-3714;NAN;NAN;NAN;51799;349.928;0.237;259.57745833;-37.23777778;1.289379;2.62E-14;833;96;NAN;NAN;0.23;NAN;5.326;5.326;NAN;pksmb,htru_pks;NAN
1490;J1718-3718;NAN;NAN;NAN;55250;349.849;0.216;259.54166667;-37.31472222;3.378574;1.61E-12;371.1;152;NAN;NAN;0.4;NAN;3.918;3.918;NAN;pksmb,htru_pks;NAN
1491;J1718-3825;NAN;NAN;NAN;51184;348.951;-0.432;259.55652083;-38.42168333;0.07467;1.32E-14;247.46;1.6;14;NAN;1.7;NAN;3.488;3.488;GRS:4FGL_J1718.2-3825[fermi21],GRS:HESS_;pksmb,htru_pks;HE[waa+10]
1492;J1718-41;NAN;NAN;NAN;56657;346.744;-1.979;259.55;-41.11666667;0.548419;NAN;354;28.4;69.1;NAN;0.07;NAN;11.597;11.597;NAN;htru_pks;NAN
1493;J1718-4539;NAN;NAN;NAN;53105;343.022;-4.584;259.54958333;-45.65441667;0.590473;7.51E-15;254;11;36;NAN;0.08;NAN;13.803;13.803;NAN;pksmb;NAN
1494;J1719-1438;1.9;-11;NAN;55235.5;8.858;12.838;259.79197054;-14.633595;0.00579;8.04E-21;36.86;0.3;1;NAN;0.42;NAN;0.341;0.341;NAN;htru_pks;NAN
1495;J1719-2330;NAN;NAN;NAN;56614;1.402;7.846;259.90041667;-23.50388889;0.453993;2.19E-15;101;8.9;18;NAN;0.16;NAN;4.274;4.274;NAN;htru_pks;NAN
1496;J1719-3458;NAN;NAN;NAN;57637;351.885;1.391;259.8005875;-34.97288889;0.493775;1.49E-17;530;21;25.9;NAN;NAN;NAN;16.425;16.425;NAN;htru_pks;NAN
1497;J1719-4006;NAN;NAN;NAN;48378.6;347.653;-1.533;259.757175;-40.11652778;0.189094;1.67E-15;386.12;5.1;13;NAN;1.4;NAN;9.783;9.783;NAN;pks1,pksmb,htru_pks;NAN
1498;J1719-4302;NAN;NAN;NAN;51498;345.341;-3.325;259.95320833;-43.0365;0.235475;3.92E-16;297.7;5.7;11;NAN;0.37;NAN;13.437;13.437;NAN;pksmb,htru_pks;NAN
1499;J1720+00;NAN;NAN;NAN;57022;22.791;20.349;260.22916667;0.66666667;3.357;NAN;46.2;7.2;NAN;NAN;NAN;NAN;2.555;2.555;NAN;AO327;RRAT[dsm+16]
1500;J1720-0212;-1;-26;NAN;49429;20.134;18.936;260.23862083;-2.20663889;0.477715;8.28E-17;66.98;59;117.3;22;1;NAN;2.357;2.357;NAN;mol2,gb2,pks70,pkssw,lotaas;NAN
1501;J1720-1633;NAN;NAN;NAN;49686;7.374;11.537;260.10502647;-16.55936755;1.565601;5.8E-15;44.83;16.2;47.7;13;1.1;NAN;0.988;0.988;NAN;gb3,pks70,pkssw,htru_pks;NAN
1502;J1720+2150;NAN;NAN;NAN;51796;43.957;29.371;260.00541667;21.83688889;1.615664;7.4E-16;40.72;8;70;2.4;NAN;NAN;5.583;5.583;NAN;ar4;NAN
1503;J1720-2446;NAN;NAN;NAN;55326;0.443;6.986;260.09358333;-24.77416667;0.874265;5.93E-16;104.3;31;56;NAN;NAN;NAN;3.877;3.877;NAN;htru_pks,gbncc;NAN
1504;J1720-2933;NAN;NAN;NAN;49863;356.505;4.248;260.14215622;-29.55451054;0.620448;7.46E-16;42.64;14.5;33;32;1.69;NAN;1.095;1.095;NAN;jb1,mol2,pks70,pksmb,htru_pks;NAN
1505;J1720-36;NAN;NAN;NAN;56657;350.515;0.016;260.225;-36.88333333;0.092132;NAN;341;8.41;10.8;NAN;0.08;NAN;3.783;3.783;NAN;htru_pks;NAN
1506;J1720-3659;NAN;NAN;NAN;51111;350.332;0.1;260.00823333;-36.98513889;0.351125;3.27E-17;378.97;7.5;17;NAN;0.74;NAN;3.909;3.909;NAN;pksmb,htru_pks;NAN
1507;J1721-1936;NAN;NAN;NAN;50434;4.857;9.738;260.2561683;-19.61404579;1.004037;1.62E-15;75.7;20.6;46.9;0.5;0.3;NAN;8.5;3.071;GRS:4FGL_J1720.8-1937[fermi21],GC:NGC634;misc,pkssw;NAN
1508;J1721-1939;NAN;NAN;NAN;51500;4.914;9.563;260.44420833;-19.66361111;0.40404;1.28E-16;103;NAN;NAN;NAN;NAN;NAN;5.621;5.621;NAN;pkssw,htru_pks;NAN
1509;J1721-2457;1.9;-25;NAN;55000;0.387;6.751;260.27290792;-24.95171389;0.003497;5.54E-21;48.23;0.58;0.92;NAN;0.58;NAN;1.392;1.392;NAN;pkssw,htru_pks,gbncc;NAN
1510;J1721-3532;NAN;NAN;NAN;51374;351.687;0.67;260.38657833;-35.54711412;0.280424;2.52E-14;496.82;29.8;69;NAN;16.8;NAN;4.6;4.709;NAN;pks1,pksmb,htru_pks;NAN
1511;J1722-3207;-1;-40;NAN;57600;354.561;2.525;260.51232917;-32.12925;0.477158;6.45E-16;126.06;5.2;20;61;5.4;NAN;2.928;2.928;NAN;jb1,mol2,pks1,pks70,pksmb,htru_pks,;NAN
1512;J1722+35;NAN;NAN;NAN;NAN;59.218;32.651;260.525;35.3;0.8216;NAN;23.83;21;51;NAN;NAN;NAN;2.196;2.196;NAN;misc,lotaas,gbncc;NAN
1513;J1722-3632;NAN;NAN;NAN;48378.6;350.934;-0.001;260.54090417;-36.54813889;0.399183;4.46E-15;416.2;18.7;37;NAN;2.9;NAN;3.992;3.992;NAN;pks1,pksmb,htru_pks;NAN
1514;J1722-3712;NAN;NAN;NAN;55362;350.49;-0.507;260.74670833;-37.20125;0.23618;1.09E-14;99.49;3.7;15;25;3.8;NAN;2.477;2.477;NAN;mol2,pks1,pks70,pksmb,htru_pks,gbnc;NAN
1515;J1722-4400;NAN;NAN;NAN;53058;344.843;-4.319;260.69382083;-44.00922222;0.218554;3.74E-16;219.3;4;8;NAN;0.22;NAN;9.068;9.068;NAN;pksmb;NAN
1516;J1723-2837;-11.713;-23.99;1.077;55667;357.616;4.26;260.84660667;-28.63254722;0.001856;7.54E-21;19.69;0.2;NAN;NAN;1.1;0.2;0.928;0.72;OPT:2MASS_J17232318-2837571[cls+13];pksmb;NAN
1517;J1723-2852;NAN;NAN;NAN;54948.6;357.482;4.015;260.9925;-28.88083333;0.625034;9E-16;172;50;NAN;NAN;0.13;NAN;4.768;4.768;NAN;pksmb;NAN
1518;J1723-3659;NAN;NAN;NAN;55384;350.682;-0.409;260.78158333;-36.98727778;0.202725;8.03E-15;254.4;6.9;35;NAN;2.1;NAN;3.497;3.497;NAN;pksmb,htru_pks;NAN
1519;J1723-38;NAN;NAN;NAN;56657;349.557;-1.149;260.75;-38.33333333;0.765796;NAN;472;13.7;35;NAN;0.08;NAN;6.842;6.842;NAN;htru_pks;NAN
1520;J1724-3149;NAN;NAN;NAN;51995;355.142;2.228;261.18695833;-31.81777778;0.948237;7.25E-15;400.8;32;NAN;NAN;0.36;NAN;17.898;17.898;NAN;pksmb,htru_pks;NAN
1521;J1724-35;NAN;NAN;NAN;54776;351.829;-0.013;261.17916667;-35.81666667;1.42199;NAN;554.9;5.9;NAN;NAN;NAN;NAN;4.33;4.33;NAN;pksmb;RRAT
1522;J1724-3505;NAN;NAN;NAN;51074;352.437;0.38;261.19954167;-35.09333333;1.221708;2.11E-14;875;24;NAN;NAN;0.24;NAN;6.775;6.775;NAN;pksmb,htru_pks;NAN
1523;J1724-4500;NAN;NAN;NAN;53255;344.182;-5.121;261.1075;-45.00416667;1.309109;3.51E-15;182;28;38;NAN;0.05;NAN;7.366;7.366;NAN;pksmb;NAN
1524;J1725-0732;NAN;NAN;NAN;52820.58;15.866;15.324;261.30117083;-7.54977778;0.239919;4.3E-16;58.72;9.8;22;NAN;0.11;NAN;0.203;0.203;NAN;misc,gbncc;NAN
1525;J1725-2852;NAN;NAN;NAN;52197;357.636;3.803;261.29125;-28.87277778;1.257788;1.99E-15;161;37;79;NAN;0.25;NAN;4.251;4.251;NAN;pksmb;NAN
1526;J1725-3546;NAN;NAN;NAN;51074;351.979;-0.153;261.42583333;-35.77111111;1.032471;1.5E-14;738.3;33;NAN;NAN;0.61;NAN;4.784;4.784;NAN;pksmb,htru_pks;NAN
1527;J1725-3848;NAN;NAN;NAN;51399;349.384;-1.741;261.25041667;-38.81;2.062386;2.3E-14;230;32;NAN;NAN;0.14;NAN;4.141;4.141;NAN;pksmb;NAN
1528;J1725-3853;NAN;NAN;NAN;55846;349.372;-1.856;261.363625;-38.8845;0.004792;5E-20;158.2;0.865;NAN;NAN;NAN;NAN;3.142;3.142;NAN;pksmb;NAN
1529;J1725-4043;NAN;NAN;NAN;51728;347.874;-2.92;261.42258333;-40.71972222;1.465071;2.79E-15;203;50;99;NAN;0.34;NAN;4.465;4.465;NAN;pksmb,htru_pks;NAN
1530;J1726-00;NAN;NAN;NAN;56359;22.638;18.71;261.59583333;-0.25;1.3086;NAN;57;NAN;NAN;NAN;NAN;NAN;3.049;3.049;NAN;AO327;NAN
1531;J1726-31;NAN;NAN;NAN;51026.4;355.252;1.828;261.65;-31.95;0.12347;NAN;264.4;NAN;NAN;NAN;0.4;NAN;5.125;5.125;NAN;pksmb;NAN
1532;J1726-3530;NAN;NAN;NAN;51522;352.252;-0.072;261.53129167;-35.49944444;1.110132;1.22E-12;718;37;NAN;NAN;0.39;NAN;4.722;4.722;SNR:G352.2-0.1(?)[mbc+02];pksmb,htru_pks;NAN
1533;J1726-3635;NAN;NAN;NAN;51111;351.422;-0.802;261.70670833;-36.596;0.287432;1.44E-15;539.2;7.8;66;NAN;0.29;NAN;4.847;4.847;NAN;pksmb,htru_pks;NAN
1534;J1726-4006;NAN;NAN;NAN;52475;348.481;-2.711;261.63904167;-40.10055556;0.882778;3.33E-15;277;20;NAN;NAN;0.21;NAN;9.401;9.401;NAN;pksmb,htru_pks;NAN
1535;J1726-52;NAN;NAN;NAN;NAN;338.441;-9.193;261.5;-52;0.6318;NAN;119.7;NAN;NAN;NAN;NAN;NAN;6.724;6.724;NAN;ghrss;NAN
1536;J1727-1609;NAN;NAN;NAN;NAN;8.701;10.199;262.0125;-16.18611111;0.00245;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1728.1-1610[fermi21];FermiAssoc;NRAD[fermi21]
1537;J1727-2739;NAN;NAN;NAN;57600;358.945;4.053;261.87908333;-27.64805556;1.2931;1.07E-15;146;35;50;NAN;1.7;NAN;3.959;3.959;NAN;pksmb,htru_pks,gbncc;NAN
1538;J1727-29;NAN;NAN;NAN;NAN;356.973;2.795;261.82916667;-29.98333333;NAN;NAN;93;7.2;NAN;NAN;NAN;NAN;2.613;2.613;NAN;pksmb;RRAT
1539;J1727-2946;0.6;0;NAN;54723;357.137;2.921;261.81289554;-29.77688806;0.027083;2.46E-19;60.74;1.8;NAN;NAN;0.25;NAN;1.882;1.882;NAN;pksmb,htru_pks;NAN
1540;J1727-2951;NAN;NAN;NAN;57958;357.037;2.919;261.751675;-29.86133333;0.028405;3.1E-19;215.1;11.4;18.9;NAN;0.51;NAN;5.415;5.415;NAN;htru_pks;NAN
1541;J1728-0007;NAN;NAN;NAN;50089;23.029;18.287;262.14507986;-0.1291682;0.386004;1.12E-15;41.09;14.4;27.4;11;0.66;NAN;1.459;1.459;NAN;gb3,pkssw,lotaas,gbncc;NAN
1542;J1728-3733;NAN;NAN;NAN;51112;350.842;-1.656;262.19270833;-37.55222222;0.615538;7.2E-17;281.5;8.1;18;NAN;0.19;NAN;4.557;4.557;NAN;pksmb,htru_pks;NAN
1543;J1728-4028;NAN;NAN;NAN;52077;348.375;-3.218;262.11533333;-40.46944444;0.866343;2.33E-16;231;102;120;NAN;1.2;NAN;6.904;6.904;NAN;pksmb,htru_pks;NAN
1544;J1729-2117;NAN;NAN;NAN;55505;4.496;7.222;262.29503333;-21.29111111;0.066293;1.72E-19;34.22;1.3;2.7;NAN;0.2;NAN;0.969;0.969;NAN;htru_pks,gbncc;NAN
1545;J1730-2304;20.264;8.3;1.19;54500;3.137;6.023;262.590276;-23.07533056;0.008123;2.02E-20;9.62;0.965;1.74;43;4;NAN;0.62;0.512;GRS:4FGL_J1730.8-2303[fermi21],XRS:[pb15;pks70,pkssw,pksmb,htru_pks;HE[lsg+15]
1546;J1730-2900;NAN;NAN;NAN;53128;358.123;2.819;262.5345;-29.01277778;1.538427;8.85E-15;289;23;44;NAN;0.13;NAN;12.054;12.054;NAN;pksmb,htru_pks;NAN
1547;J1730-3350;NAN;NAN;NAN;50198;354.133;0.09;262.63566257;-33.84428622;0.13946;8.48E-14;261.29;7.1;22;9.2;4.3;NAN;3.488;3.488;GRS:4FGL_J1730.5-3352[fermi21];pks1,pksmb,htru_pks,FermiAssoc;HE[jlm+92,fermi21]
1548;J1730-3353;NAN;NAN;NAN;51672;354.135;-0.004;262.73158333;-33.89388889;3.270242;2.2E-14;256;54;NAN;NAN;0.38;NAN;3.46;3.46;NAN;pksmb,htru_pks;NAN
1549;J1730-34;NAN;NAN;NAN;56657;353.285;-0.36;262.525;-34.8;0.09983;NAN;628;25.9;51.7;NAN;0.03;NAN;4.566;4.566;NAN;htru_pks;NAN
1550;J1731-1847;-1.7;-6;NAN;55215.1;6.89;8.151;262.82337426;-18.79240722;0.002345;2.54E-20;106.47;0.13;0.18;NAN;0.37;NAN;4.782;4.782;GRS:4FGL_J1731.7-1850[fermi21],XRS:[pb15;htru_pks;NAN
1551;J1731-3123;NAN;NAN;NAN;51702;356.233;1.354;262.75220833;-31.39527778;0.753048;1.68E-15;354.5;19;NAN;NAN;0.29;NAN;7.285;7.285;NAN;pksmb,htru_pks;NAN
1552;J1731-33;NAN;NAN;NAN;NAN;354.313;-0.104;262.95;-33.8;0.6069;NAN;571;48.4;88.7;NAN;NAN;NAN;4.341;4.341;NAN;htru_pks;NAN
1553;J1731-3322;NAN;NAN;NAN;56716;354.601;0.225;262.809625;-33.37916667;0.544671;2.81E-14;877.4;33.5;71.4;NAN;0.1;NAN;5.552;5.552;NAN;htru_pks;NAN
1554;J1731-4744;73;-132;NAN;53000;342.565;-7.669;262.92566667;-47.74340556;0.829829;1.64E-13;123.06;17.1;32;190;27;NAN;0.7;5.54;GRS:4FGL_J1731.7-4744[fermi21],SNR:G343.;mol1,mol2,pks70,pkssw,htru_pks;HE[sbc+19]
1555;J1732-1930;NAN;NAN;NAN;51197;6.417;7.563;263.08344038;-19.50238231;0.48377;1.82E-16;72.43;16;23;11;0.3;NAN;2.634;2.634;NAN;pks70,htru_pks;NAN
1556;J1732-3131;NAN;NAN;NAN;54933;356.307;1.007;263.13975;-31.52305556;0.196543;2.8E-14;15.44;NAN;NAN;NAN;NAN;NAN;0.64;0.64;GRS:4FGL_J1732.5-3131[fermi21];FermiBlind;HE
1557;J1732-3426;NAN;NAN;NAN;52359;353.818;-0.507;263.02991667;-34.43472222;0.332887;4.02E-16;513.5;14;33;NAN;0.24;NAN;4.333;4.333;NAN;pksmb,htru_pks;NAN
1558;J1732-35;NAN;NAN;NAN;56657;353.318;-0.926;263.125;-35.08333333;0.12669;NAN;340;6.6;14.1;NAN;0.13;NAN;4.042;4.042;NAN;htru_pks;NAN
1559;J1732-3729;NAN;NAN;NAN;51724;351.288;-2.211;263.08670833;-37.48472222;2.184001;1.3E-15;317;40;73;NAN;0.31;NAN;10.938;10.938;NAN;pksmb,htru_pks;NAN
1560;J1732-4128;NAN;NAN;NAN;43565.05;347.98;-4.462;263.20833333;-41.48;0.627981;1.28E-14;195.3;13.4;24;9;1.1;NAN;7.235;7.235;NAN;mol2,pksmb,htru_pks;NAN
1561;J1732-4156;NAN;NAN;NAN;51911;347.589;-4.709;263.20358333;-41.94155556;0.323434;6.61E-16;228.7;21;NAN;NAN;0.22;NAN;11.528;11.528;NAN;pksmb;NAN
1562;J1732-5049;-0.41;-9.87;NAN;54500;340.029;-9.454;263.19902805;-50.81671992;0.005313;1.42E-20;56.84;0.292;1.76;NAN;1.7;NAN;1.875;1.875;GRS:4FGL_J1732.7-5050[fermi21];pkssw,htru_pks;HE
1563;J1733-01;NAN;NAN;NAN;NAN;22.787;16.899;263.25;-1;0.302;NAN;61.98;10;16;NAN;NAN;NAN;2.759;2.759;NAN;gbncc;NAN
1564;J1733-2228;NAN;NAN;NAN;48712;4.029;5.749;263.36015701;-22.4770089;0.871683;4.27E-17;41.14;61.3;84.3;25;4.21;NAN;1.105;1.105;NAN;jb1,mol2,pks70,pkssw,pksmb,htru_pks;NAN
1565;J1733-2533;NAN;NAN;NAN;53070;1.428;4.092;263.35775;-25.55305556;0.659794;2.1E-15;242;35;57;NAN;0.1;NAN;12.04;12.04;NAN;pksmb;NAN
1566;J1733-2837;NAN;NAN;NAN;53128;358.857;2.402;263.39125;-28.62583333;0.768185;1.11E-15;225;12;20;NAN;0.07;NAN;4.74;4.74;NAN;pksmb;NAN
1567;J1733-3030;NAN;NAN;NAN;51914;357.32;1.301;263.495375;-30.51361111;0.362052;1.65E-15;636;16;NAN;NAN;0.2;NAN;20.614;20.614;NAN;pksmb,htru_pks;NAN
1568;J1733-3322;NAN;NAN;NAN;51250;354.917;-0.238;263.48004167;-33.3675;1.245915;4.1E-15;524;34.3;NAN;NAN;0.8;NAN;4.237;4.237;NAN;pksmb,htru_pks;NAN
1569;J1733-3716;-3;40;NAN;55359;351.577;-2.284;263.36151;-37.28200833;0.337595;1.5E-14;153.18;3.9;55;NAN;3.6;NAN;3.15;3.15;NAN;pks1,pksmb,htru_pks;NAN
1570;J1733-4005;NAN;NAN;NAN;52385;349.266;-3.895;263.49433333;-40.09436111;0.561778;3.62E-15;317.8;14;23;NAN;0.49;NAN;19.225;19.225;NAN;pksmb,htru_pks;NAN
1571;J1733-5515;NAN;NAN;NAN;55194;336.188;-11.801;263.25166667;-55.26111111;1.011234;4E-16;83.9;45.5;69;NAN;0.3;NAN;4.217;4.217;NAN;htru_pks;NAN
1572;J1734-0212;NAN;NAN;NAN;49699;21.904;15.928;263.69025447;-2.21085393;0.839394;4.21E-16;65.05;9.6;41.7;5.7;0.28;NAN;1.798;1.798;NAN;gb2,gbncc;NAN
1573;J1734-2415;NAN;NAN;NAN;53164;2.678;4.551;263.67333333;-24.25555556;0.612524;1.05E-15;126.3;17;49;NAN;0.29;NAN;3.436;3.436;NAN;pksmb,htru_pks,gbncc;NAN
1574;J1734-2859;NAN;NAN;NAN;57674;358.596;2.119;263.500475;-28.99816667;0.301456;8E-18;313.9;8.72;26.5;NAN;0.13;NAN;11.352;11.352;NAN;htru_pks;NAN
1575;J1734-3058;NAN;NAN;NAN;56400;357.031;0.893;263.71182917;-30.97816667;0.541286;1.62E-17;260;10.7;22.6;NAN;0.11;NAN;3.744;3.744;NAN;htru_pks;NAN
1576;J1734-3333;NAN;NAN;NAN;53145;354.819;-0.433;263.61208333;-33.55555556;1.169341;2.28E-12;578;230.6;NAN;NAN;0.49;NAN;4.461;4.461;NAN;pksmb,htru_pks;HE[oklk10]
1577;J1735-0243;NAN;NAN;NAN;54827;21.564;15.448;263.95041667;-2.73;0.782887;6.32E-16;54.9;13;106;NAN;NAN;NAN;0.992;0.992;NAN;gb350,gbncc;NAN
